is_wc,home_elo,away_elo,elo_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_rate,h2h_matches,composure_diff,mentality_diff,squad_value_ratio,ca_diff,pace_diff,rank_diff,is_host,home_injured,away_injured,availability_diff,is_wc_match
-0.011475704,-0.048783474,-0.27639577,-0.6259484,-0.22345147,-0.06681649,-0.16972296,-0.02008069,0.007640851,-0.0022785591,-0.2865905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006645397
0.031081531,-0.0075327666,-0.04857612,-0.6804657,0.07943004,0.039251696,-0.09818483,-0.053558953,-0.0784714,0.1980054,-0.250276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007276602
-0.0029053607,0.019726446,0.1886158,0.35853136,0.052192938,0.16553144,0.059297748,-0.010323142,0.009351262,-0.00702045,-0.028186932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006693318
-0.0104198335,0.047989793,-0.024688266,0.35425168,0.12602767,-0.048370983,0.11750061,0.08503542,-0.008231542,-0.017779443,0.111816294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019882915
-0.005187929,0.023354663,0.08633056,0.4339327,0.054462668,-0.042909738,0.18745102,0.19456281,-0.003864799,0.050605476,-0.027412685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00058053224
0.008831308,-0.036953077,0.17793506,-0.24748608,0.030148447,0.016010657,0.024416117,-0.05340802,0.054290313,0.080557436,-0.081071936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002231384
-0.0020614746,-0.046858735,-0.3478566,0.37666336,0.0142485285,-0.041113842,0.09828602,-0.0908584,-0.05973422,-0.16926353,0.03354281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033596955
-0.0049357074,-0.07272652,-0.14790653,-0.4129461,0.018935073,-0.14160495,0.049469754,0.035011217,-0.008789999,-0.021771416,0.21039344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020962064
-0.0026210218,-0.026721861,-0.29531375,-0.28751504,0.027402148,-0.044544693,0.0038676711,-0.07119707,-0.07747702,-0.053419802,-0.013920978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007400425
-0.0024196121,0.043692295,-0.18308763,-0.24519151,-7.1105023e-06,-0.017314872,0.10862354,-0.021068852,-0.0033288416,0.0121770175,0.02650887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019008123
-0.0020457273,-0.025508422,0.038371854,0.33977902,0.08647186,0.0025341792,0.0028222778,0.14439659,-0.011884009,-0.020455807,0.012348053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00059119565
